,code
0,4911101
1,4962305
2,4952501
3,4936601
4,4937301
5,4989101
6,4909804
7,4992901
8,4919001
9,4941901
10,4917001
11,4910801
12,4907401
13,4934101
14,4939802
15,4936501
16,4996401
17,4961101
18,4907601
19,4939402
20,4917601
21,5028001
22,5041001
23,5000701
24,5046901
25,5088501
26,5078101
27,5048701
28,5053001
29,5067405
30,5088101
31,5040801
32,5072401
33,5074202
34,5028501
35,5020601
36,5076801
37,5094001
38,5027202
39,5086601
40,5085901
41,5019801
42,5078401
43,5080702
44,5088001
45,5004801
46,5020701
47,5030901
48,5061601
49,5092301
50,5085201
51,5108001
52,5099207
53,5169401
54,5136701
55,5170601
56,5110102
57,5128901
58,5144101
59,5098105
60,5134305
61,5094801
62,5128005
63,5128201
64,5109707
65,5140101
66,5160301
67,5147101
68,5106801
69,5094901
70,5232101
71,5235601
72,5229101
73,5210501
74,5262401
75,5208601
76,5270701
77,5271801
78,5239101
79,5197401
80,5208801
81,5216201
82,5227301
83,5262901
84,5260501
85,5237101
86,5272501
87,5281201
88,5216401
89,5239507
90,5192801
91,5237301
92,5225301
93,5249501
94,5223101
95,5222001
96,5194302
97,5220201
98,5207001
99,5245701
100,5239001
101,5237701
102,5219001
103,5232201
104,5265401
105,5210601
106,5221701
107,5218301
108,5229401
109,5208501
110,5253501
111,5278101
112,5210801
113,5271701
114,5233901
115,5227205
116,5253701
117,5262808
118,5263901
119,5260401
120,5208901
121,5249401
122,5364401
123,5329401
124,5362201
125,5364601
126,5351301
127,5357001
128,5301001
129,5331701
130,5361801
131,5301501
132,5364801
133,5574701
134,5539501
135,5593101
136,5624602
137,5722901
138,5642301
139,5752101
140,5744901
141,5753201
142,5743401
143,5680201
144,5643001
145,5626901
146,5795001
147,5666101
148,5683901
149,5771701
150,5790201
151,5721401
152,5747601
153,5737801
154,5765201
155,5778501
156,5755401
157,5720101
158,5771901
159,5710301
160,5768101
161,5801001
162,5715805
163,5757002
164,5744101
165,5755001
166,5745001
167,5739801
168,5757202
169,5718901
170,5727401
171,5787901
172,5741501
173,5721901
174,5743901
175,5742801
176,5779901
177,5743501
178,5724801
179,5791402
180,5762001
181,5740201
182,5764201
183,5788002
184,5746801
185,5759701
186,5732801
187,5778601
188,5809101
189,5834701
190,5843802
191,5873205
192,5856901
193,5834801
194,5830201
195,5902101
196,5855501
197,5904501
198,5981101
199,5937601
200,5938901
201,5974601
202,5999901
203,5998801
204,5936701
205,5972205
206,5965701
207,5936901
208,5967902
209,5928001
210,5933601
211,5920502
212,5928201
213,5991601
214,5942501
215,5942505
216,5953801
217,5950101
218,5970701
219,5950502
220,5938601
221,5970301
222,5962701
223,5969401
224,5966301
225,5947205
226,5927201
227,5928501
228,6172201
229,6200807
230,6188101
231,6212901
232,6200905
233,6163601
234,6160901
235,6289301
236,6223701
237,6251801
238,6246501
239,6226901
240,6258301
241,6342601
242,6388601
243,6456901
244,6470405
245,6620505
246,6626205
247,6626105
248,6610101
249,6681701
250,6726705
251,6696101
252,6686005
253,6688401
254,6682601
255,6682801
256,7011501
257,7155102
258,7104501
259,7188705
260,7124301
261,7097601
262,7255105
263,7478301
264,9599101
265,9524805
266,9595601
267,9524405
268,9548605
269,9568201
270,9589801
271,9562301
272,9562101
273,9601802
274,9563501
275,9582001
276,9625501
277,9680501
278,9712801
279,9627205
280,9643901
281,9675301
282,9650205
283,9680401
284,9714705
285,9678101
286,9646101
287,9659401
288,9680901
289,9643401
290,9651001
291,9680801
292,9632301
293,9762501
294,9765801
295,9741601
296,9738201
297,9766901
298,9762301
299,9806801
300,9765301
301,9747001
302,9777301
303,9733501
304,9716907
305,9762401
306,9803701
307,9759901
308,9758801
309,9770701
310,9733301
311,9789101
312,9717301
313,9800401
314,9888501
315,9739901
316,9786901
317,9873201
318,9825101
319,9911801
320,9909701
321,9823402
